"Company","Title","Location","URL","Source","Status","Notes","ApplicationStatus","Confidence","TrackerFirstSeenBasis"
"Point72","Quantitative Research Intern","New York, Seattle","https://boards.greenhouse.io/point72/jobs/7297667002?gh_jid=7297667002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=7297667002 | internship timing not stated in title | JOB DESCRIPTION This is an opportunity for students and researchers of advanced data modeling and statistical learning methods to apply these techniques to market prediction and systematic trading. JOB RESPONSIBILITIES Pre-process (validate, clean, normalize, reduce dimension) very large data sets for model estimation and event studies Identify features and relationships useful for the predictive modeling of market dynamics DESIRABLE CANDIDATES MS, or PhD candidates in finance, computer science, mathematics, physics, or other quantitative discipline Programming in any of the following: C++, Java, C#, MATLAB, R, Python, or Perl Strong analytical and quantitative skills Demonstrated interest in financial markets and systematic trading Clear,...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Point72","Quantitative Research Intern (NLP)","New York","https://boards.greenhouse.io/point72/jobs/8018862002?gh_jid=8018862002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=8018862002 | internship timing not stated in title | ROLE/RESPONSIBILTIES: We are seeking a quant research intern to join an NLP quant team within Point72. We believe the significant advances in NLP methods show promise for finance. We develop and launch end-to-end signals, from data processing to performance testing. The ideal candidate will have strong machine learning, data science and software engineering skills, some experience with modern NLP, and a curiosity about finance and trading. Responsibilities may include: Using NLP to construct features from varied datasets Formulating research hypotheses to derive alpha Building and testing the performance of trading signals based on NLP and financial features Launching identified signals into production REQUIREMENTS: Bachelor’s, Master’s or...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Point72","Quantitative Researcher - Intern","London, Paris, Hong Kong, Tokyo","https://boards.greenhouse.io/point72/jobs/7297657002?gh_jid=7297657002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=7297657002 | internship timing not stated in title | Job Description This is an opportunity for students and researchers of advanced data modeling and statistical learning methods to apply these techniques to market prediction and systematic trading. Job Responsibilities Pre-process (validate, clean, normalize, reduce dimension) very large data sets for model estimation and event studies Identify features and relationships useful for the predictive modeling of market dynamics Desirable Candidates Undergraduate, MS, or PhD candidates in finance, computer science, mathematics, physics, or other quantitative discipline Programming in any of the following: C++, Java, C#, MATLAB, R, Python, or Perl Strong analytical and quantitative skills Demonstrated interest in financial markets and systematic...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Point72","Quantitative Researcher Intern","New York","https://boards.greenhouse.io/point72/jobs/7586061002?gh_jid=7586061002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=7586061002 | internship timing not stated in title | JOB RESPONSIBILITIES A highly collaborative, fast-growing team, Point72 Internal Alpha Capture (IAC) is developing scalable quantitative equity trading signals that leverage rigorous research, state-of-the-art machine learning methods, a broad range of public and proprietary data sources, and unparalleled computing power. We are looking for exceptional students to join us as quantitative researcher interns for Fall 2025, Spring 2026 and Summer 2026. Our interns will work closely with our team, receive comprehensive, in-depth training, and help develop novel signals that may have real impact. You will gain exposure to a variety of activities, which may include: Conducting full pipeline signal research, from ideation, via implementation and ...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Point72","Quantitative Software Developer Intern","New York, London, or Paris","https://boards.greenhouse.io/point72/jobs/7297666002?gh_jid=7297666002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=7297666002 | internship timing not stated in title | Job Description We are seeking a small number of highly talented interns to assist in the development, optimization, and monitoring of our production trading platform and research infrastructure. Interns will work on small, highly collaborative teams. Desirable Candidates Undergraduate or graduate candidates in computer science or engineering Significant experience in Python, C++, C, or Java Serious interest in systems programming (e.g. Linux kernel development, compilers, embedded systems, networking, file systems, debuggers) In-depth understanding of how userland programs run on Linux and interact with the kernel Some basic knowledge of Git, databases (e.g. MySQL), and web development frameworks is a plus Clear, concise, and proactive co...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Point72","Summer 2027 Quantitative Research Internship","New York","https://boards.greenhouse.io/point72/jobs/7297642002?gh_jid=7297642002","Career page Greenhouse:point72","Confirmed official posting","career_page=https://careers.point72.com/ | company_wrapper=https://careers.point72.com/job?gh_jid=7297642002 | internship timing: Summer 2027 | Please send CVs to KEPL-talent@cubistsystematic.com with “202 7 QR Summer Internship Application” in the subject line. When your application is received, we will consider you for all similar positions at Cubist. About Our Firm: Cubist Systematic Strategies, an affiliate of Point72, deploys systematic, computer-driven trading strategies across multiple liquid asset classes, including equities, futures and foreign exchange. The core of our effort is rigorous research into a wide range of market anomalies, fueled by our unparalleled access to a wide range of publicly available data sources. About Our Team: KEPL is a fast-growing team at Cubist Systematic Strategies. We specialize in trading medium-frequency statistical arbitrage strategies with high...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Qube Research & Technologies","2026 - Internship, Data Engineering","Paris, London","https://job-boards.greenhouse.io/quberesearchandtechnologies/jobs/8078338002","Career page Greenhouse:quberesearchandtechnologies","Confirmed official posting","career_page=https://www.qube-rt.com/careers/ | company_wrapper=https://www.qube-rt.com/careers/job?gh_jid=8078338002 | internship timing not stated in title | Programme duration: from 5 to 6 months, starting in 2026. Who qualifies: Penultimate or final year students completing a Bachelor's, Master's. Qube Research & Technologies (QRT) is a global quantitative and systematic investment manager, operating in all liquid asset classes across the world. We are a technology and data driven group implementing a scientific approach to investing. Combining data, research, technology, and trading expertise has shaped our collaborative mindset which enables us to solve the most complex challenges. QRT’s culture of innovation continuously drives our ambition to deliver high quality returns for our investors. Over the years, QRT has invested in a global research and execution platform which has been ...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Qube Research & Technologies","2026 - Internship, Quantitative Developer","London","https://job-boards.greenhouse.io/quberesearchandtechnologies/jobs/8068131002","Career page Greenhouse:quberesearchandtechnologies","Confirmed official posting","career_page=https://www.qube-rt.com/careers/ | company_wrapper=https://www.qube-rt.com/careers/job?gh_jid=8068131002 | internship timing not stated in title | Programme duration: from 5 to 6 months, starting in 2026. Who qualifies : Penultimate or final year students completing a Bachelor's, Master's. Qube Research & Technologies (QRT) is a global quantitative and systematic investment manager, operating in all liquid asset classes across the world. We are a technology and data driven group implementing a scientific approach to investing. Combining data, research, technology, and trading expertise has shaped our collaborative mindset which enables us to solve the most complex challenges. QRT’s culture of innovation continuously drives our ambition to deliver high quality returns for our investors. Over the years, QRT has invested in a global research and execution platform which has been...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Qube Research & Technologies","2026 - Internship, Quantitative Research/Trading","Aarhus, Dubai, Geneva, London, Paris, Zurich, Budapest","https://job-boards.greenhouse.io/quberesearchandtechnologies/jobs/8052341002","Career page Greenhouse:quberesearchandtechnologies","Confirmed official posting","career_page=https://www.qube-rt.com/careers/ | company_wrapper=https://www.qube-rt.com/careers/job?gh_jid=8052341002 | internship timing not stated in title | Programme duration: From 4-6 months, starting in 2026. Most individuals join in April, May, or June of each year. Who qualifies: Penultimate or final year students completing a Bachelor's or a Master's degree. Qube Research & Technologies (QRT) is a global quantitative and systematic investment manager, operating in all liquid asset classes across the world. We are a technology and data driven group implementing a scientific approach to investing. Combining data, research, technology, and trading expertise has shaped our collaborative mindset which enables us to solve the most complex challenges. QRT’s culture of innovation continuously drives our ambition to deliver high quality returns for our investors. Over the years, QRT has i...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Qube Research & Technologies","2026 Internship - Software Engineer","London","https://job-boards.greenhouse.io/quberesearchandtechnologies/jobs/8562105002","Career page Greenhouse:quberesearchandtechnologies","Confirmed official posting","career_page=https://www.qube-rt.com/careers/ | company_wrapper=https://www.qube-rt.com/careers/job?gh_jid=8562105002 | internship timing not stated in title; graduation eligibility mentions: 2025, 2026 | Qube Research & Technologies (QRT) is a global quantitative and systematic investment manager, operating in all liquid asset classes across the world. We are a technology and data driven group implementing a scientific approach to investing. Combining data, research, technology, and trading expertise has shaped our collaborative mindset which enables us to solve the most complex challenges. QRT’s culture of innovation continuously drives our ambition to deliver high quality returns for our investors. Over the years, QRT has invested in a global research and execution platform which has been deployed to cover all geographies and asset classes. This platform includes everything from high-f...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Qube Research & Technologies","2026 Internship/Graduate - Quantitative Research/Trading","Hong Kong, Singapore, Shanghai","https://job-boards.greenhouse.io/quberesearchandtechnologies/jobs/8021267002","Career page Greenhouse:quberesearchandtechnologies","Confirmed official posting","career_page=https://www.qube-rt.com/careers/ | company_wrapper=https://www.qube-rt.com/careers/job?gh_jid=8021267002 | internship timing not stated in title | Programme duration: From 3-6 months, starting in 2026. Who qualifies: Penultimate or final year students completing a Bachelor's, Master's, PhD. Qube Research & Technologies (QRT) is a global quantitative and systematic investment manager, operating in all liquid asset classes across the world. We are a technology and data driven group implementing a scientific approach to investing. Combining data, research, technology, and trading expertise has shaped our collaborative mindset which enables us to solve the most complex challenges. QRT’s culture of innovation continuously drives our ambition to deliver high quality returns for our investors. Over the years, QRT has invested in a global research and execution platform which has bee...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Qube Research & Technologies","2026 Internship/Graduate - Technology","Hong Kong/Singapore","https://job-boards.greenhouse.io/quberesearchandtechnologies/jobs/8084644002","Career page Greenhouse:quberesearchandtechnologies","Confirmed official posting","career_page=https://www.qube-rt.com/careers/ | company_wrapper=https://www.qube-rt.com/careers/job?gh_jid=8084644002 | internship timing not stated in title | Programme duration: from 3 to 6 months, starting in 2026. Who qualifies: Penultimate or final year students completing a Bachelor's, Master's, PhD. Qube Research & Technologies (QRT) is a global quantitative and systematic investment manager, operating in all liquid asset classes across the world. We are a technology and data driven group implementing a scientific approach to investing. Combining data, research, technology, and trading expertise has shaped our collaborative mindset which enables us to solve the most complex challenges. QRT’s culture of innovation continuously drives our ambition to deliver high quality returns for our investors. Over the years, QRT has invested in a global research and execution platform which has ...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Ramp","Software Engineer Internship, Android","New York, NY (HQ)","https://jobs.ashbyhq.com/ramp/67fadb77-43d8-4449-954b-d4cf2c6d3b8b","Career page Ashby:ramp","Confirmed official posting","career_page=https://jobs.ashbyhq.com/ramp/ | internship timing not stated in title; graduation eligibility mentions: 2026, 2028 | About Ramp Ramp is building the smart infrastructure for finance teams, embedded in the transaction flow of every dollar a business spends. We automate how over $200B in annualized spend flows in and out of 70,000+ companies: authorizing payments, flagging risk, categorizing spend, and closing books. The problems are high-stakes, data-dense, and unforgiving. We hire people with high agency and high urgency. We look for slope over intercept. We care less about where you trained and more about what you’ve built. At Ramp, everyone is a builder who owns problems end to end and makes consequential decisions that shape the outcome. The median Ramp customer saves 5% and grows revenue 16% in their first year – far in excess of businesses operating without Ramp. We bel...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Schonfeld","Quantitative Research / Developer - Intern","Hong Kong, Hong Kong","https://job-boards.greenhouse.io/schonfeld/jobs/7185553","Career page Greenhouse:schonfeld","Confirmed official posting","career_page=https://job-boards.greenhouse.io/schonfeld?error=true | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=7185553 | internship timing not stated in title | The Role We are looking for a hands-on STRAT / forward-deployed engineer to embed with our multi strategy business. The candidate will sit on the trading floor, shipping full-stack tools that power research, risk, and execution across strategies such as index rebalance, delta-1 and long/short equities. The role will be based in our Hong Kong office. What you’ll do Automate PM/analyst processes— alpha signals, portfolio construction, real-time risk, P&L, scenario and stress analytics. Help build out our proprietary research, portfolio construction and risk management platform. Build end-to-end products: data ingestion, micro-service back-ends, and lightweight front-ends for visualization and workflow. Own SDLC: re...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Susquehanna International Group","Quantitative Strategy Developer Internship: Summer 2027","Bala Cynwyd (Philadelphia Area), Pennsylvania","https://careers.sig.com/global-campus/jobs/10838?lang=en-us","Official careers page","Confirmed official posting","internship timing: Summer 2027","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Susquehanna International Group","Quantitative Trader Internship: Summer 2027","Bala Cynwyd (Philadelphia Area), Pennsylvania","https://careers.sig.com/jobs/10717?lang=en-us","Official careers page","Confirmed official posting","internship timing: Summer 2027","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Susquehanna International Group","Trading System Engineering Internship: Summer 2027","Bala Cynwyd (Philadelphia Area), Pennsylvania","https://careers.sig.com/technology-software-engineering/jobs/10837?lang=en-us","Official careers page","Confirmed official posting","internship timing: Summer 2027","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Tower Research Capital","Quantitative Developer Intern - Summer 2027","New York, Chicago","https://www.tower-research.com/open-positions/?gh_jid=8044334","Greenhouse:towerresearchcapital","Confirmed official posting","internship timing: Summer 2027; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Tower Research Capital","Quantitative Trader Intern - Summer 2027","New York, Chicago","https://www.tower-research.com/open-positions/?gh_jid=8024128","Greenhouse:towerresearchcapital","Confirmed official posting","internship timing: Summer 2027; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Tower Research Capital","Risk Intern - 6 Month Internship Opportunity","Singapore","https://www.tower-research.com/open-positions/?gh_jid=7789933","Greenhouse:towerresearchcapital","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"TPG","Climate Digest, Intern | Fall Research Assistant","Remote United States of America","https://job-boards.greenhouse.io/tpgcareers/jobs/7789334003","Career page Greenhouse:tpgcareers","Confirmed official posting","career_page=https://job-boards.greenhouse.io/tpgcareers | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=7789334003 | internship timing: Fall | Location: Remote Must be located in one of the following states during the internship: AZ, CA, DC, FL, GA, IL, NJ, NY, TN, TX, VA, WI, AR, CO, IN, KY, LA, MA, MI, MN, MO, NE, NH, NC, OH, PA, SC, UT, WA, WY If physically located near a TPG office, working in-person may be an option Duration: Late-August–Mid-December 2026 Compensation : $20/hour Time Commitment: 20 hours per week About TPG TPG is a leading global alternative asset management firm, founded in San Francisco in 1992. TPG invests across a broadly diversified set of strategies, including private equity, impact, credit, real estate, and market solutions, and our unique strategy is driven by collaboration, innovation, and inclusion. Our teams combine deep product and sector e...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"TPG","Climate Impact, Intern | Fall Research Assistant","Remote United States of America","https://job-boards.greenhouse.io/tpgcareers/jobs/7789335003","Career page Greenhouse:tpgcareers","Confirmed official posting","career_page=https://job-boards.greenhouse.io/tpgcareers | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=7789335003 | internship timing: Fall | Location: Remote Must be located in one of the following states during the internship: AZ, CA, DC, FL, GA, IL, NJ, NY, TN, TX, VA, WI, AR, CO, IN, KY, LA, MA, MI, MN, MO, NE, NH, NC, OH, PA, SC, UT, WA, WY If physically located near a TPG office, working in-person may be an option Duration: Late-August–Mid-December 2026 Compensation : $20/hour Time Commitment: 20 hours per week About TPG TPG is a leading global alternative asset management firm, founded in San Francisco in 1992. TPG invests across a broadly diversified set of strategies, including private equity, impact, credit, real estate, and market solutions, and our unique strategy is driven by collaboration, innovation, and inclusion. Our teams combine deep product and sector e...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"TPG","Data Analytics and Reporting, Intern | Fall Research Assistant","Remote United States of America","https://job-boards.greenhouse.io/tpgcareers/jobs/7789336003","Career page Greenhouse:tpgcareers","Confirmed official posting","career_page=https://job-boards.greenhouse.io/tpgcareers | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=7789336003 | internship timing: Fall | Location: Remote Must be located in one of the following states during the internship: AZ, CA, DC, FL, GA, IL, NJ, NY, TN, TX, VA, WI, AR, CO, IN, KY, LA, MA, MI, MN, MO, NE, NH, NC, OH, PA, SC, UT, WA, WY If physically located near a TPG office, working in-person may be an option Duration: Late-August–Mid-December 2026 Compensation : $20/hour Time Commitment: 20 hours per week About TPG TPG is a leading global alternative asset management firm, founded in San Francisco in 1992. TPG invests across a broadly diversified set of strategies, including private equity, impact, credit, real estate, and market solutions, and our unique strategy is driven by collaboration, innovation, and inclusion. Our teams combine deep product and sector e...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"TPG","Responsible Investing, Intern | Fall Research Assistant","Remote United States of America","https://job-boards.greenhouse.io/tpgcareers/jobs/7790706003","Career page Greenhouse:tpgcareers","Confirmed official posting","career_page=https://job-boards.greenhouse.io/tpgcareers | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=7790706003 | internship timing: Fall | Location: Remote Must be located in one of the following states during the internship: AZ, CA, DC, FL, GA, IL, NJ, NY, TN, TX, VA, WI, AR, CO, IN, KY, LA, MA, MI, MN, MO, NE, NH, NC, OH, PA, SC, UT, WA, WY If physically located near a TPG office, working in-person may be an option Duration: Late-August–Mid-December 2026 Compensation : $20/hour Time Commitment: 20 hours per week About TPG TPG is a leading global alternative asset management firm, founded in San Francisco in 1992. TPG invests across a broadly diversified set of strategies, including private equity, impact, credit, real estate, and market solutions, and our unique strategy is driven by collaboration, innovation, and inclusion. Our teams combine deep product and sector e...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"TPG","Responsible Investing, Intern | Fall Research Assistant","Singapore, Central, Singapore","https://job-boards.greenhouse.io/tpgcareers/jobs/7761510003","Career page Greenhouse:tpgcareers","Confirmed official posting","career_page=https://job-boards.greenhouse.io/tpgcareers | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=7761510003 | internship timing: Fall | Location: Singapore This is a hybrid role, with the expectation of some in-office presence needed Duration: Early-August – late-December 2026 Time Commitment: 40 hours per week About TPG TPG is a leading global alternative asset management firm, founded in San Francisco in 1992. TPG invests across a broadly diversified set of strategies, including private equity, impact, credit, real estate, and market solutions, and our unique strategy is driven by collaboration, innovation, and inclusion. Our teams combine deep product and sector experience with broad capabilities and expertise to develop differentiated insights and add value for our fund investors, portfolio companies, management teams, and communities. TPG’s success depends on ou...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"TransMarket Group","DevOps/SRE Intern","Chicago, Illinois, United States","https://job-boards.greenhouse.io/transmarketgroup/jobs/5151577007?gh_jid=5151577007","Career page Greenhouse:transmarketgroup","Confirmed official posting","career_page=https://www.transmarketgroup.com/careers | company_wrapper=https://www.transmarketgroup.com/job?gh_jid=5151577007 | internship timing not stated in title | Who We Are Founded in 1980 as Aardvark Financial, TransMarket Group (TMG) is a privately held global markets proprietary trading firm in Chicago. We use next-generation technology to capture opportunities around the world and manage risk in financial markets. Our mission is to bless others through the services we provide and through the generous stewardship of the wealth we create. TMG is a well-established and profitable business as a respected member of the global financial system for over 40 years, but also is like a startup because the potential of our group is at least one order of magnitude greater than what we are currently producing. We have an entrepreneurial culture and collaboratively develop our business with p...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"TransMarket Group","Quantitative Trader Intern","Chicago, Illinois, United States","https://job-boards.greenhouse.io/transmarketgroup/jobs/5151569007?gh_jid=5151569007","Career page Greenhouse:transmarketgroup","Confirmed official posting","career_page=https://www.transmarketgroup.com/careers | company_wrapper=https://www.transmarketgroup.com/job?gh_jid=5151569007 | internship timing not stated in title; graduation eligibility mentions: 2027, 2028 | Who We Are Founded in 1980 as Aardvark Financial, TransMarket Group (TMG) is a privately held global markets proprietary trading firm in Chicago. We use next-generation technology to capture opportunities around the world and manage risk in financial markets. Our mission is to bless others through the services we provide and through the generous stewardship of the wealth we create. TMG is a well-established and profitable business as a respected member of the global financial system for over 40 years, but also is like a startup because the potential of our group is at least one order of magnitude greater than what we are currently producing. We have an entrepreneurial culture an...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Virtu Financial","2027 Internship - Quant Research (Undergrad)","New York","https://job-boards.greenhouse.io/virtu/jobs/8142539002","Greenhouse:virtu","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Virtu Financial","2027 Internship - Quantitative Trading","Dublin, Ireland","https://job-boards.greenhouse.io/virtu/jobs/8547254002","Greenhouse:virtu","Confirmed official posting","internship timing not stated in title; graduation eligibility mentions: 2028; undergrad/BS/MS language found","Submitted","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Voloridge Investment Management","Quantitative Developer Intern 2027","Jupiter, FL","https://job-boards.greenhouse.io/voloridgeinvestmentmanagement/jobs/4224862009","Greenhouse:voloridgeinvestmentmanagement","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Voloridge Investment Management","Quantitative Research Intern 2027","Jupiter, FL","https://job-boards.greenhouse.io/voloridgeinvestmentmanagement/jobs/4226247009","Greenhouse:voloridgeinvestmentmanagement","Confirmed official posting","internship timing not stated in title; undergrad/BS/MS language found","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Walleye Capital","Central Equity Quant Research (CEQR) Intern (Summer 2027)","New York, New York","https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4676069006","Career page Greenhouse:walleyecapital-external-students","Confirmed official posting","career_page=https://job-boards.greenhouse.io/walleyecapital-external-students | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4676069006 | internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028 | Position: Central Equity Quant Research (CEQR) Intern (Summer 2027) Location: New York, NY Firm Overview: Walleye Capital is a ~$16 billion+ multi-strategy investment firm headquartered in New York City, with over 350 employees across five main offices. Founded in 2005 as an options market maker, we have organically grown into a global investment firm specializing in Fundamental Equities, Quant, and Volatility strategies. At Walleye, we continuously innovate by focusing on three core principles: approach, platform, and people. Our approach is to allocate risk capital where we believe there is not only a compelling opportunity, but also a clear ability to define...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Walleye Capital","Equity Volatility Quant Researcher Intern (Summer 2027)","Miami, FL","https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4676334006","Career page Greenhouse:walleyecapital-external-students","Confirmed official posting","career_page=https://job-boards.greenhouse.io/walleyecapital-external-students | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4676334006 | internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028 | Position: Equity Volatility Quant Researcher Intern (Summer 2027) Location: Miami, FL Firm Overview: Walleye Capital is a ~$16 billion+ multi-strategy investment firm headquartered in New York City, with over 350 employees across five main offices. Founded in 2005 as an options market maker, we have organically grown into a global investment firm specializing in Fundamental Equities, Quant, and Volatility strategies. At Walleye, we continuously innovate by focusing on three core principles: approach, platform, and people. Our approach is to allocate risk capital where we believe there is not only a compelling opportunity, but also a clear ability to define our ...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Walleye Capital","Fundamental Equities Intern (Summer 2027)","New York, New York","https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4677152006","Career page Greenhouse:walleyecapital-external-students","Confirmed official posting","career_page=https://job-boards.greenhouse.io/walleyecapital-external-students | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4677152006 | internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028 | Position: Fundamental Equities Intern (Summer 2027) Location: New York, NY Firm Overview: Walleye Capital is a ~$16 billion+ multi-strategy investment firm headquartered in New York City, with over 350 employees across five main offices. Founded in 2005 as an options market maker, we have organically grown into a global investment firm specializing in Fundamental Equities, Quant, and Volatility strategies. At Walleye, we continuously innovate by focusing on three core principles: approach, platform, and people. Our approach is to allocate risk capital where we believe there is not only a compelling opportunity, but also a clear ability to define our tangible ed...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Walleye Capital","Investment Data Science Intern (Summer 2027)","New York, New York","https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4676587006","Career page Greenhouse:walleyecapital-external-students","Confirmed official posting","career_page=https://job-boards.greenhouse.io/walleyecapital-external-students | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4676587006 | internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028 | Position: Investment Data Science Intern (Summer 2027) Location: New York, NY Firm Overview: Walleye Capital is a ~$16 billion+ multi-strategy investment firm headquartered in New York City, with over 350 employees across five main offices. Founded in 2005 as an options market maker, we have organically grown into a global investment firm specializing in Fundamental Equities, Quant, and Volatility strategies. At Walleye, we continuously innovate by focusing on three core principles: approach, platform, and people. Our approach is to allocate risk capital where we believe there is not only a compelling opportunity, but also a clear ability to define our tangible...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
"Walleye Capital","Quantic - Quantitative Researcher Intern (Summer 2027)","Boston, MA","https://job-boards.greenhouse.io/walleyecapital-external-students/jobs/4679173006","Career page Greenhouse:walleyecapital-external-students","Confirmed official posting","career_page=https://job-boards.greenhouse.io/walleyecapital-external-students | company_wrapper=https://job-boards.greenhouse.io/job?gh_jid=4679173006 | internship timing: Summer 2027; graduation eligibility mentions: 2027, 2028 | Position : Quantic - Quantitative Researcher Intern (Summer 2027) Location : Boston, MA Please apply to only one opportunity between the Quantitative Developer, Quantitative Researcher and PhD Quantitative Researcher positions with Quantic. If the team finds you could be a potential fit for the other, we will contact you. Firm Overview: Walleye Capital is a ~$16 billion+ multi-strategy investment firm headquartered in New York City, with over 350 employees across five main offices. Founded in 2005 as an options market maker, we have organically grown into a global investment firm specializing in Quant, Fundamental Equities, and Volatility strategies. Our Team O...","","Confirmed official posting","First seen by local tracker in scans run from 2026-06-30 onward; not guaranteed to be the employer posting date."
